Hour,Month,Probability,S.E.,z,p-value,lower,upper,location,outcome
14,2,0.471425,0.0211134,22.33,0,0.4300435,0.5128065,2,1
14,3,0.5008255,0.0189502,26.43,0,0.4636837,0.5379672,2,1
14,4,0.7221005,0.0159928,45.15,0,0.6907551,0.7534459,2,1
14,5,0.536968,0.0178423,30.1,0,0.5019978,0.5719382,2,1
15,1,0.1771584,0.0172228,10.29,0,0.1434024,0.2109144,2,1
15,2,0.5038908,0.0208695,24.14,0,0.4629873,0.5447943,2,1
15,3,0.5324188,0.018398,28.94,0,0.4963593,0.5684783,2,1
15,4,0.7476099,0.0148075,50.49,0,0.7185878,0.7766321,2,1
15,5,0.5689384,0.0172882,32.91,0,0.5350542,0.6028226,2,1
16,1,0.1697959,0.0167157,10.16,0,0.1370337,0.202558,2,1
16,2,0.4835447,0.0208589,23.18,0,0.442662,0.5244275,2,1
16,3,0.5110115,0.0186322,27.43,0,0.4744931,0.54753,2,1
16,4,0.7321816,0.0153867,47.59,0,0.7020242,0.7623391,2,1
16,5,0.5486297,0.0175306,31.3,0,0.5142702,0.5829891,2,1
17,1,0.1591542,0.0158393,10.05,0,0.1281097,0.1901988,2,1
17,2,0.4611493,0.0206996,22.28,0,0.4205788,0.5017198,2,1
17,3,0.488121,0.0184219,26.5,0,0.4520147,0.5242272,2,1
17,4,0.7142954,0.0158817,44.98,0,0.6831678,0.745423,2,1
17,5,0.5262052,0.0174702,30.12,0,0.4919643,0.5604461,2,1
18,1,0.125,0.0131659,9.49,0,0.0991952,0.1508047,2,1
18,2,0.3902191,0.0203024,19.22,0,0.3504271,0.4300112,2,1
18,3,0.415906,0.0184707,22.52,0,0.3797042,0.4521079,2,1
18,4,0.6515905,0.0181514,35.9,0,0.6160145,0.6871665,2,1
18,5,0.453605,0.0179503,25.27,0,0.4184232,0.4887869,2,1
19,1,0.0744416,0.0086753,8.58,0,0.0574384,0.0914448,2,1
19,2,0.2772493,0.0183806,15.08,0,0.241224,0.3132746,2,1
19,3,0.3010869,0.0176132,17.09,0,0.2665656,0.3356082,2,1
